ImageId,Label
1,2.0
2,2.0
3,2.0
4,5.0
5,1.0
6,9.0
7,4.0
8,0.0
9,1.0
10,1.0
11,3.0
12,4.0
13,0.0
14,6.0
15,9.0
16,8.0
17,6.0
18,7.0
19,2.0
20,4.0
21,0.0
22,6.0
23,8.0
24,0.0
25,2.0
26,5.0
27,1.0
28,5.0
29,4.0
30,4.0
31,7.0
32,1.0
33,1.0
34,0.0
35,7.0
36,7.0
37,0.0
38,4.0
39,9.0
40,2.0
41,6.0
42,5.0
43,9.0
44,1.0
45,9.0
46,6.0
47,7.0
48,9.0
49,9.0
50,2.0
51,8.0
52,2.0
53,5.0
54,0.0
55,1.0
56,1.0
57,3.0
58,1.0
59,7.0
60,2.0
61,3.0
62,9.0
63,9.0
64,1.0
65,9.0
66,3.0
67,4.0
68,0.0
69,3.0
70,3.0
71,5.0
72,0.0
73,4.0
74,8.0
75,0.0
76,3.0
77,6.0
78,0.0
79,1.0
80,9.0
81,3.0
82,1.0
83,1.0
84,0.0
85,4.0
86,5.0
87,2.0
88,2.0
89,9.0
90,6.0
91,7.0
92,6.0
93,7.0
94,9.0
95,7.0
96,9.0
97,7.0
98,3.0
99,9.0
100,2.0
101,3.0
102,0.0
103,3.0
104,3.0
105,1.0
106,8.0
107,7.0
108,2.0
109,8.0
110,7.0
111,7.0
112,0.0
113,0.0
114,6.0
115,2.0
116,8.0
117,1.0
118,0.0
119,5.0
120,9.0
121,2.0
122,5.0
123,9.0
124,2.0
125,4.0
126,0.0
127,4.0
128,0.0
129,8.0
130,4.0
131,3.0
132,1.0
133,6.0
134,4.0
135,4.0
136,1.0
137,0.0
138,9.0
139,8.0
140,8.0
141,1.0
142,1.0
143,9.0
144,2.0
145,6.0
146,4.0
147,1.0
148,8.0
149,8.0
150,1.0
151,5.0
152,2.0
153,6.0
154,3.0
155,3.0
156,5.0
157,5.0
158,4.0
159,1.0
160,2.0
161,3.0
162,6.0
163,3.0
164,8.0
165,6.0
166,1.0
167,3.0
168,4.0
169,7.0
170,7.0
171,1.0
172,5.0
173,7.0
174,3.0
175,0.0
176,6.0
177,3.0
178,4.0
179,8.0
180,2.0
181,8.0
182,6.0
183,7.0
184,5.0
185,8.0
186,8.0
187,3.0
188,2.0
189,1.0
190,6.0
191,9.0
192,9.0
193,9.0
194,0.0
195,9.0
196,1.0
197,5.0
198,9.0
199,4.0
200,6.0
201,5.0
202,9.0
203,3.0
204,4.0
205,5.0
206,6.0
207,7.0
208,5.0
209,9.0
210,8.0
211,3.0
212,7.0
213,7.0
214,3.0
215,2.0
216,8.0
217,5.0
218,2.0
219,0.0
220,1.0
221,2.0
222,0.0
223,4.0
224,1.0
225,9.0
226,0.0
227,1.0
228,4.0
229,3.0
230,1.0
231,9.0
232,4.0
233,4.0
234,5.0
235,4.0
236,5.0
237,8.0
238,0.0
239,5.0
240,0.0
241,0.0
242,9.0
